StartTime: 2021-05-13 10:15:01.067
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	10:16:40.045	-0.0630	-0.0269	-0.9932	-0.9766	-1.0376	2.0752	179.4507	-0.5219	-101.2610	0.0000 
0x50	10:16:40.065	-0.0630	-0.0269	-0.9932	-0.9766	-1.0376	2.0752	179.4562	-0.4504	-101.3049	0.0000 
0x50	10:16:40.085	-0.0132	-0.0220	-0.9897	-0.7935	0.7324	8.9111	179.4617	-0.4504	-101.4807	0.0000 
0x50	10:16:40.105	0.0420	0.0186	-0.9961	0.3662	3.2959	11.0474	179.4672	-0.5438	-101.7004	0.0000 
0x50	10:16:40.125	-0.0054	0.0049	-0.9912	-0.8545	-0.4883	9.3384	179.4562	-0.5219	-101.8872	0.0000 
0x50	10:16:40.145	0.0098	0.0005	-0.9932	0.0000	0.6104	13.6108	179.4617	-0.5383	-102.1619	0.0000 
0x50	10:16:40.166	0.0083	0.0063	-0.9932	-0.0610	0.1221	6.8359	179.4672	-0.5438	-102.2992	0.0000 
0x50	10:16:40.186	0.0059	-0.0205	-0.9932	0.4883	-0.7324	6.6528	179.4946	-0.5273	-102.4310	0.0000 
0x50	10:16:40.250	0.0234	0.0347	-0.9907	-0.6714	-0.5493	9.0942	179.4672	-0.5273	-102.6123	0.0000 
0x50	10:16:40.250	0.0190	0.0107	-0.9937	0.4883	0.6104	8.3618	179.4781	-0.5493	-102.7826	0.0000 
0x50	10:16:40.250	0.0063	0.0044	-0.9941	0.0000	-0.7935	7.4463	179.4836	-0.5328	-102.9309	0.0000 
0x50	10:16:40.265	0.0269	0.0156	-0.9907	0.0610	0.2441	3.9673	179.4781	-0.5493	-103.0078	0.0000 
0x50	10:16:40.308	0.0239	0.0195	-0.9927	0.3662	0.1221	2.2583	179.4781	-0.5603	-103.0518	0.0000 
0x50	10:16:40.308	0.0127	0.0093	-0.9927	0.1831	-0.1831	1.6479	179.4836	-0.5603	-103.0847	0.0000 
0x50	10:16:40.325	0.0063	0.0044	-0.9937	0.0610	0.0000	1.9531	179.4891	-0.5603	-103.1232	0.0000 
0x50	10:16:40.346	0.0054	0.0049	-0.9927	0.2441	0.0000	2.1362	179.4946	-0.5548	-103.1671	0.0000 
0x50	10:16:40.366	0.0010	0.0000	-0.9932	0.6104	-0.5493	1.8311	179.5166	-0.5383	-103.2056	0.0000 
