StartTime: 2022-04-21 09:23:05.481
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	09:23:33.062	0.0518	-0.9707	-0.2222	0.0610	0.0000	-0.0610	-102.8979	-3.0157	171.8756	0.0000 
0x50	09:23:33.113	0.0518	-0.9702	-0.2236	0.0000	0.0000	0.0000	-102.8979	-3.0103	171.8756	0.0000 
0x50	09:23:33.172	0.0518	-0.9697	-0.2227	0.1221	0.0000	-0.0610	-102.8979	-3.0157	171.8756	0.0000 
0x50	09:23:33.213	0.0522	-0.9702	-0.2231	-0.0610	0.0000	0.0610	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.264	0.0522	-0.9707	-0.2231	0.0000	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.314	0.0532	-0.9697	-0.2222	0.0610	0.0000	0.0000	-102.8979	-3.0103	171.8756	0.0000 
0x50	09:23:33.364	0.0518	-0.9697	-0.2227	-0.0610	0.0000	0.0000	-102.8979	-3.0103	171.8756	0.0000 
0x50	09:23:33.414	0.0522	-0.9702	-0.2231	0.0000	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.466	0.0527	-0.9702	-0.2227	0.0610	0.0000	0.0000	-102.8979	-3.0103	171.8756	0.0000 
0x50	09:23:33.516	0.0518	-0.9702	-0.2236	0.0000	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.590	0.0518	-0.9702	-0.2227	-0.1831	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.616	0.0518	-0.9702	-0.2217	0.1831	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.667	0.0513	-0.9707	-0.2227	-0.0610	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.717	0.0522	-0.9702	-0.2222	0.1221	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.781	0.0518	-0.9697	-0.2231	0.0000	0.0000	0.0000	-102.8979	-3.0103	171.8756	0.0000 
0x50	09:23:33.817	0.0522	-0.9702	-0.2231	0.0000	0.0000	0.0000	-102.8979	-3.0103	171.8756	0.0000 
0x50	09:23:33.868	0.0522	-0.9697	-0.2231	0.0000	0.0000	0.0000	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:33.919	0.0537	-0.9692	-0.2231	0.1221	0.0000	0.0000	-102.8979	-3.0103	171.8756	0.0000 
0x50	09:23:33.971	0.0537	-0.9697	-0.2227	-0.1831	0.0000	0.1221	-102.8979	-3.0157	171.8756	0.0000 
0x50	09:23:34.019	0.0513	-0.9707	-0.2236	0.0610	0.0000	-0.0610	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:34.070	0.0518	-0.9712	-0.2231	-0.2441	0.0000	0.1831	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:34.118	0.0522	-0.9692	-0.2236	0.3052	0.0000	-0.1221	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:34.199	0.0513	-0.9697	-0.2236	0.1221	0.0000	0.0000	-102.9034	-3.0103	171.8701	0.0000 
0x50	09:23:34.220	0.0532	-0.9702	-0.2217	0.0000	0.0000	0.0000	-102.8979	-3.0157	171.8756	0.0000 
0x50	09:23:34.271	0.0518	-0.9702	-0.2222	0.0610	0.0000	-0.1831	-102.9034	-3.0103	171.8756	0.0000 
0x50	09:23:34.321	0.0513	-0.9707	-0.2241	0.1221	0.0000	-0.0610	-102.9089	-3.0103	171.8756	0.0000 
0x50	09:23:34.388	0.0527	-0.9692	-0.2227	0.1831	0.0000	-0.0610	-102.8979	-3.0103	171.8756	0.0000 
