StartTime: 2022-05-21 16:07:24.133
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	16:07:44.313	-0.1533	-1.9575	0.8276	-0.2441	0.3662	0.2441	-67.3462	4.3451	-173.7927	22.4800	-6	211	-403	0.06595	0.00156	0.55493	-0.82925 
0x50	16:07:44.392	-0.1548	-1.9565	0.8267	0.0000	-0.1221	0.0000	-67.3517	4.3506	-173.7817	22.4700	-6	211	-403	0.06595	0.00156	0.55493	-0.82925 
0x50	16:07:44.488	-0.1538	-1.9570	0.8276	-0.3052	-0.0610	0.2441	-67.3462	4.3396	-173.7598	22.4700	-7	212	-402	0.06595	0.00156	0.55493	-0.82925 
0x50	16:07:44.552	-0.1563	-1.9585	0.8262	-0.0610	0.3052	-0.5493	-67.3462	4.3341	-173.7488	22.4700	-7	212	-402	0.06595	0.00156	0.55493	-0.82925 
0x50	16:07:44.731	-0.1519	-1.9556	0.8276	-0.4272	-0.4272	0.2441	-67.3462	4.3286	-173.7378	22.4700	-7	212	-402	0.06622	0.00119	0.55493	-0.82922 
0x50	16:07:44.811	-0.1548	-1.9575	0.8267	-0.2441	-0.1221	0.1831	-67.3462	4.3176	-173.6993	22.5000	-7	212	-402	0.06622	0.00119	0.55493	-0.82922 
0x50	16:07:44.917	-0.1543	-1.9565	0.8271	-0.0610	0.6714	0.1221	-67.3462	4.3286	-173.6938	22.5000	-8	212	-403	0.06622	0.00119	0.55493	-0.82922 
0x50	16:07:44.972	0.0132	-2.0869	0.5942	138.8550	-130.1880	-196.1060	-64.3140	-8.1079	-173.3862	22.5000	-8	212	-403	0.06622	0.00119	0.55493	-0.82922 
0x50	16:07:45.142	-0.0171	-2.0229	0.5654	-314.6362	884.3994	60.4248	-69.8456	10.1843	171.6998	22.5000	-8	212	-403	0.07037	-0.16299	0.43491	-0.88278 
0x50	16:07:45.152	-0.1597	-2.1929	1.1270	-167.7856	169.6777	11.5356	-107.7649	10.6348	139.9384	22.5000	-8	212	-403	0.07037	-0.16299	0.43491	-0.88278 
0x50	16:07:45.306	-0.0205	-1.9766	0.7676	189.6973	331.6650	359.1919	-103.4308	27.1198	112.6428	22.4900	-174	190	-663	0.07037	-0.16299	0.43491	-0.88278 
0x50	16:07:45.386	0.3765	-2.0513	0.5957	181.0913	253.3569	363.7695	-116.9330	59.8865	65.9399	22.4900	-174	190	-663	0.07037	-0.16299	0.43491	-0.88278 
0x50	16:07:45.541	0.2437	-2.1206	0.3599	-328.7964	-260.8643	-158.0811	-67.1484	62.7155	126.2714	22.4900	-174	190	-663	-0.11890	0.71881	0.11111	-0.67584 
0x50	16:07:45.566	-0.0337	-2.7920	1.1841	-508.6060	-129.6997	-242.9199	-92.0050	31.5308	165.0092	22.4900	-174	190	-663	-0.11890	0.71881	0.11111	-0.67584 
0x50	16:07:45.646	-0.6084	-1.6885	0.8066	166.1987	476.3794	7.0801	-104.8480	0.3186	132.0557	22.5100	-174	190	-663	-0.11890	0.71881	0.11111	-0.67584 
